[2026-03-12 12:25:46,630] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2026-03-12 12:25:48,043] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2026-03-12 12:25:49,374] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-03-12 12:25:49,394] 107 dagshub - INFO - Accessing as karthikerra67
[2026-03-12 12:25:51,012] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/karthikerra67/END_to_END_ML_Project_on_Phishing_Data "HTTP/1.1 200 OK"
[2026-03-12 12:25:52,651] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-03-12 12:25:52,662] 107 dagshub - INFO - Initialized MLflow to track repo "karthikerra67/END_to_END_ML_Project_on_Phishing_Data"
[2026-03-12 12:25:52,665] 107 dagshub - INFO - Repository karthikerra67/END_to_END_ML_Project_on_Phishing_Data initialized!
[2026-03-12 12:25:52,668] 22 root - INFO - Data Ingestion is inititated
[2026-03-12 12:25:56,943] 72 root - INFO - Performed train test split on the DataFrame
[2026-03-12 12:25:56,943] 73 root - INFO - Excited split_data_as_train_test method of Data_Ingestion class
[2026-03-12 12:25:56,943] 75 root - INFO - Exposrting train file path
[2026-03-12 12:25:57,008] 82 root - INFO - Exporting test file path
[2026-03-12 12:25:57,027] 28 root - INFO - Data Ingestion Completed
[2026-03-12 12:25:57,027] 30 root - INFO - Data Validation is initiated
[2026-03-12 12:25:57,027] 17 root - INFO - Reading the yaml file
[2026-03-12 12:25:57,142] 36 root - INFO - required number of columns: 31
[2026-03-12 12:25:57,142] 37 root - INFO - Data frame has columns: 31
[2026-03-12 12:25:57,142] 36 root - INFO - required number of columns: 31
[2026-03-12 12:25:57,142] 37 root - INFO - Data frame has columns: 31
[2026-03-12 12:25:57,142] 50 root - INFO - Expected numerical columns: ['having_IP_Address', 'URL_Length', 'Shortining_Service', 'having_At_Symbol', 'double_slash_redirecting', 'Prefix_Suffix', 'having_Sub_Domain', 'SSLfinal_State', 'Domain_registeration_length', 'Favicon', 'port', 'HTTPS_token', 'Request_URL', 'URL_of_Anchor', 'Links_in_tags', 'SFH', 'Submitting_to_email', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe', 'age_of_domain', 'DNSRecord', 'web_traffic', 'Page_Rank', 'Google_Index', 'Links_pointing_to_page', 'Statistical_report', 'Result']
[2026-03-12 12:25:57,142] 50 root - INFO - Expected numerical columns: ['having_IP_Address', 'URL_Length', 'Shortining_Service', 'having_At_Symbol', 'double_slash_redirecting', 'Prefix_Suffix', 'having_Sub_Domain', 'SSLfinal_State', 'Domain_registeration_length', 'Favicon', 'port', 'HTTPS_token', 'Request_URL', 'URL_of_Anchor', 'Links_in_tags', 'SFH', 'Submitting_to_email', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe', 'age_of_domain', 'DNSRecord', 'web_traffic', 'Page_Rank', 'Google_Index', 'Links_pointing_to_page', 'Statistical_report', 'Result']
[2026-03-12 12:25:57,298] 30 root - INFO - Wite operation is completed for YAML file: Artifacts\03_12_2026_12_25_26\data_validation\drift_report\report.yaml
[2026-03-12 12:25:57,448] 36 root - INFO - Data Validation Completed
[2026-03-12 12:25:57,454] 39 root - INFO - Data Transformation is initiated in main.py file
[2026-03-12 12:25:57,462] 66 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-03-12 12:25:57,462] 69 root - INFO - Starting the Data Transformation currently in initiation method
[2026-03-12 12:25:57,540] 50 root - INFO - Entered get_data_trainsformer_object method of transformer class 
[2026-03-12 12:25:57,540] 53 root - INFO - Initialize KNN imputer with params {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-03-12 12:25:57,559] 51 root - INFO - Entered the save_object method of utils file
[2026-03-12 12:25:57,566] 55 root - INFO - Excited the save_object method of mainutils class
[2026-03-12 12:25:57,566] 45 root - INFO - Data Transformation is completed
[2026-03-12 12:25:57,566] 48 root - INFO - Model Training is Inittiated in main.py
